time,Actual,Simulation,MAE,MSE,0.21989575,0.430133972,MAE %,MSE ,MR %,Coef,R-square
10:14,43.9875,43.19026,1.812423984,0.635591618,0.79724,0.79724,,,,,
10:16,43.6625,42.93816,1.65895219,0.524668436,0.72434,0.72434,,,,,
10:18,43.6625,42.86526,1.825914687,0.635591618,0.79724,0.79724,,,,,
10:20,44.3875,43.69345,1.563615883,0.481705403,0.69405,0.69405,,,,,
10:22,44.3,43.40355,2.023589165,0.803622602,0.89645,0.89645,,,,,
10:24,43.9,43.01556,2.014669704,0.782234114,0.88444,0.88444,,,,,
10:26,43.5125,42.85995,1.499683999,0.425821503,0.65255,0.65255,,,,,
10:28,43.9875,43.27255,1.62534811,0.511153502,0.71495,0.71495,,,,,
10:30,44.45,43.59687,1.919302587,0.727830797,0.85313,0.85313,,,,,
10:32,44.0375,43.16473,1.98187908,0.761727473,0.87277,0.87277,,,,,
10:34,44.1875,43.35431,1.885578501,0.694205576,0.83319,0.83319,,,,,
10:36,44.15,43.25024,2.037961495,0.809568058,0.89976,0.89976,,,,,
10:38,44.2375,43.50428,1.65746256,0.537611568,0.73322,0.73322,,,,,
10:40,44.125,43.30706,1.853688385,0.669025844,0.81794,0.81794,,,,,
10:42,44.0375,43.20232,1.896520011,0.697525632,0.83518,0.83518,,,,,
10:44,44.1875,43.2818,2.049674682,0.82029249,0.9057,0.9057,,,,,
10:46,43.9875,43.08691,2.047377096,0.811062348,0.90059,0.90059,,,,,
10:48,43.8125,43.13446,1.547594864,0.459738242,0.67804,0.67804,,,,,
10:50,43.5125,42.75516,1.740511347,0.573563876,0.75734,0.75734,,,,,
10:52,44.1,43.25288,1.920907029,0.717612294,0.84712,0.84712,,,,,
10:54,43.4625,42.67769,1.805717573,0.615926736,0.78481,0.78481,,,,,
10:56,43.725,43.06917,1.499897084,0.430112989,0.65583,0.65583,,,,,
10:58,44.0125,43.2229,1.794035785,0.62346816,0.7896,0.7896,,,,,
11:00,43.8625,43.06849,1.810225135,0.63045188,0.79401,0.79401,,,,,
11:02,43.55,42.6381,2.09391504,0.83156161,0.9119,0.9119,,,,,
11:04,43.5125,42.71699,1.828233266,0.63283616,0.79551,0.79551,,,,,
11:06,43.375,42.68027,1.601682997,0.482649773,0.69473,0.69473,,,,,
11:08,44.2375,43.65498,1.316801356,0.33932955,0.58252,0.58252,,,,,
11:10,44.15,43.36915,1.768629672,0.609726723,0.78085,0.78085,,,,,
11:12,44.1,43.25553,1.914897959,0.713129581,0.84447,0.84447,,,,,
11:14,43.9,43.17095,1.66070615,0.531513903,0.72905,0.72905,,,,,
