time,Actual,Stope,Station,0.212227045
15:38,3.541120121,3.541120121,3.541120121,3.502510191
15:40,3.557848654,3.557848654,3.557848654,3.491993885
15:42,3.544558677,3.544558677,3.544558677,3.477343583
15:44,3.546506749,3.546506749,3.546506749,3.481477579
15:46,3.579157486,3.579157486,3.579157486,3.487787363
15:48,3.562480043,3.562480043,3.562480043,3.496200408
15:50,3.555167557,3.555167557,3.555167557,3.498303669
15:52,3.547355281,3.547355281,3.547355281,3.502510191
15:54,3.544003355,3.544003355,3.544003355,3.498303669
15:56,3.563466296,3.563466296,3.563466296,3.502510191
15:58,3.559634571,3.559634571,3.559634571,3.504613453
16:00,3.569981338,3.569981338,3.569981338,3.515057233
16:02,3.590839249,3.590839249,3.590839249,3.523470278
16:04,3.585976846,3.585976846,3.585976846,3.525573539
16:06,3.548114962,3.548114962,3.548114962,3.5276768
16:08,3.520104499,3.520104499,3.520104499,3.5276768
16:10,3.561602634,3.561602634,3.561602634,3.5276768
16:12,3.546420118,3.546420118,3.546420118,3.525573539
16:14,3.521084088,3.521084088,3.521084088,3.525573539
16:16,3.52262122,3.52262122,3.52262122,3.525573539
16:18,3.519007182,3.519007182,3.519007182,3.517160494
16:20,3.493231336,3.493231336,3.493231336,3.513026498
16:22,3.506392477,3.506392477,3.506392477,3.508819975
16:24,3.526261914,3.526261914,3.526261914,3.502510191
16:26,3.468050795,3.468050795,3.468050795,3.487787363
16:28,3.433845154,3.519368597,3.558604477,3.471033799
16:30,3.409635318,3.494555805,3.530976893,3.523470278
16:32,3.37645147,3.460543225,3.495857204,3.523470278
16:34,3.334573495,3.417622264,3.457419344,3.523470278
16:36,3.279418871,3.361091717,3.394328811,3.5276768
16:38,3.20894179,3.288843443,3.314938242,3.533986584
16:40,3.231085827,3.311557198,3.350353516,3.536089845
16:42,3.283865893,3.36565177,3.408423885,3.536089845
16:44,3.236368054,3.316973258,3.350854102,3.536089845
16:46,3.227218562,3.307591341,3.339996151,3.536089845
16:48,3.192062209,3.271559406,3.297975525,3.529780061
16:50,3.18951439,3.268948132,3.298070875,3.529780061
16:52,3.16113075,3.239859864,3.266858141,3.529780061
16:54,3.155810761,3.234407379,3.265039345,3.129789845
16:56,3.129484035,3.207422699,3.229662212,3.13165144
16:58,3.096297966,3.173412396,3.197467375,3.137236223
17:00,3.09377236,3.170823889,3.198787969,3.139033625
17:02,3.067383438,3.143777741,3.167887505,3.139033625
17:04,3.035658978,3.111263172,3.140181258,3.137236223
17:06,3.038184584,3.113851679,3.150269259,3.133513034
17:08,3.020065524,3.095281357,3.12315418,3.13165144
17:10,3.026733836,3.102115746,3.136436397,3.13165144
17:12,3.062931973,3.139215411,3.177153115,3.122343467
17:14,3.091704339,3.168704363,3.211407506,3.122343467
17:16,3.104041382,3.181348665,3.214725676,3.122343467
17:18,3.136636588,3.214753389,3.254658143,3.118620278
17:20,3.137916051,3.216066994,3.2514973,3.114897088
17:22,3.178534555,3.257699394,3.305067162,3.111173899
17:24,3.167741308,3.246635061,3.287663452,3.109376498
17:26,3.191629058,3.271115467,3.322599593,3.109376498
17:28,3.158936116,3.237610571,3.276440789,3.111173899
17:30,3.180660329,3.259875835,3.302046959,3.113035494
17:32,3.165086867,3.243914509,3.283122421,3.118620278
17:34,3.157530039,3.236169476,3.284769588,3.12792825
17:36,3.146383607,3.224745438,3.27272215,3.13165144
17:38,3.082614822,3.159390744,3.205221692,3.133513034
17:40,3.086833051,3.163709477,3.216196446,3.137236223
17:42,3.058489394,3.134662187,3.179317554,3.139033625
17:44,3.063560598,3.139859692,3.189155263,3.146480003
17:46,3.058858128,3.135040105,3.180666753,3.152064787
17:48,3.035825575,3.111431641,3.155151165,3.157649571
17:50,2.976734825,3.051672859,3.090451606,3.157649571
17:52,2.935905298,3.005630662,3.050242625,3.157649571
17:54,2.919852038,2.993266384,3.041775569,3.159511165
17:56,2.897874597,2.965696615,3.004357951,3.157649571
17:58,2.869610906,2.928829164,2.96874006,3.146480003
18:00,2.867864973,2.943338011,2.983335719,2.935283625
18:02,2.896759509,1.742976245,2.932504779,2.928380606
18:04,2.958147073,1.807984894,0.212227045,2.924899084
18:06,2.978078705,1.809303052,0.650359054,2.917936039
18:08,2.97336735,1.8088409,0.779043049,2.910972994
18:10,2.993974255,1.824485776,0.876828964,2.909232233
18:12,3.014921017,1.838853473,0.909162058,2.907551498
18:14,2.949610656,1.795750382,0.910468349,2.904069975
18:16,2.954564132,1.801359953,0.910804457,2.904069975
18:18,2.952616061,1.802052043,0.90983189,2.907551498
18:20,2.977943207,1.821403243,0.911676907,2.910972994
18:22,2.977143542,1.824192093,0.913498087,2.912713755
18:24,2.968318358,1.820374215,0.914105941,2.917936039
18:26,2.936667201,1.797159605,0.909879564,2.921417561
18:28,2.938275415,1.803871056,0.909455258,2.926639845
18:30,2.968211736,1.826939963,0.912601799,2.930121368
18:32,2.988656487,1.843336121,0.914239431,2.930121368
18:34,2.950157093,1.816770338,0.9101823,2.930121368
18:36,2.997010758,1.84987455,0.914771006,2.928380606
18:38,2.99029802,1.846375398,0.913626809,2.928380606
18:40,2.99937421,1.853555831,0.914928333,2.926639845
18:42,2.959819704,1.825032163,0.908685309,2.924899084
18:44,2.952096279,1.820658791,0.908384957,2.926639845
18:46,2.964986424,1.831654826,0.909929623,2.928380606
18:48,2.926156058,1.801917723,0.904149046,2.930121368
18:50,2.936438408,1.815427138,0.905615048,2.928380606
18:52,2.922144409,1.801394103,0.903200316,2.924899084
18:54,2.92574734,1.808228491,0.904971437,2.917936039
18:56,2.938124367,1.818527883,0.908804496,2.907551498
18:58,2.926669176,1.807133441,0.906218135,2.898847691
19:00,2.941589579,1.823026468,0.910623292,2.890143885
19:02,2.971603646,1.840815912,0.91196534,2.878018583
19:04,2.983083271,1.847998622,0.913505238,2.881440079
19:06,2.971979044,1.839857458,0.913028489,2.886662363
19:08,2.95917553,1.830625798,0.912184644,2.893625408
19:10,2.941873904,1.815971248,0.907920127,2.895366169
19:12,2.929823407,1.806953589,0.90500481,2.898847691
19:14,2.966325861,1.835698089,0.90782001,2.895366169
19:16,2.967340991,1.833874523,0.907712742,2.898847691
19:18,2.935154502,1.808037256,0.903872531,2.900588453
19:20,2.943973023,1.819395272,0.907319424,2.909232233
19:22,2.947238319,1.82055862,0.908415946,2.916195278
19:24,2.938393143,1.813157356,0.906725872,2.917936039
19:26,2.951369918,1.826013382,0.911047599,2.9196768
19:28,2.955317149,1.826700919,0.91153865,2.9196768
19:30,2.967367646,1.835723131,0.912830639,2.9196768
19:32,3.031909441,1.877412446,0.921190426,2.917936039
19:34,2.999587454,1.856005466,0.917376437,2.917936039
19:36,2.958051557,1.82305834,0.911321729,2.917936039
19:38,2.965310732,1.82955579,0.91055178,2.910972994
19:40,2.964311152,1.827445371,0.908108443,2.907551498
19:42,2.970066513,1.832488066,0.909467177,2.904069975
19:44,2.90962522,1.780426508,0.900704537,2.898847691
19:46,2.951196657,1.828028184,0.907200237,2.886662363
